wet	-1	1	1	-1	1	1	2	3	-1	2	-1
cargo	-1	-1	2	-1	4	2	2	4	-1	3	3
Arsenal	4	-1	-1	4	5	-1	4	3	3	-1	3
Manufacturing	-1	4	4	-1	-1	3	4	4	-1	4	-1
East	-1	2	1	1	1	-1	1	2	1	-1	-1
quantum	-1	-1	2	-1	4	2	4	3	-1	4	4
Scottish	3	-1	-1	-1	-1	-1	4	3	-1	3	2
Zenith	3	4	-1	5	5	-1	4	4	-1	-1	-1
cows	-1	-1	2	2	1	-1	3	3	2	-1	1
Alto	-1	-1	4	-1	-1	1	3	3	-1	2	2
striving	-1	-1	3	3	3	-1	4	3	2	-1	2
interested	-1	2	1	1	3	-1	2	4	2	-1	-1
BenQ	-1	-1	4	-1	6	4	6	3	-1	4	3
task	-1	1	1	-1	2	1	2	2	-1	2	-1
suspended	-1	-1	2	-1	3	4	2	3	-1	3	3
shorter	-1	2	1	2	1	-1	2	4	2	-1	-1
sweep	-1	-1	2	-1	-1	1	2	3	-1	2	1
lived	-1	2	2	2	1	-1	2	3	2	-1	-1
Morton	-1	-1	2	5	-1	-1	6	3	2	-1	2
Testament	-1	-1	4	-1	5	3	5	4	-1	4	4
hormones	-1	-1	2	-1	3	2	5	4	-1	3	2
faster	2	1	-1	2	1	3	2	3	-1	-1	-1
Gordon	3	-1	-1	-1	5	-1	3	3	-1	2	2
Biking	2	-1	-1	-1	1	-1	2	3	2	3	3
plugin	3	-1	-1	-1	5	3	3	4	-1	-1	-1
wealth	3	-1	-1	-1	1	-1	2	3	3	3	1
Citroen	3	4	-1	5	6	-1	6	5	-1	-1	-1
Tues	3	3	-1	3	2	-1	-1	2	-1	-1	-1
Reds	-1	1	1	6	1	-1	2	2	2	-1	-1
slut	3	-1	-1	-1	1	2	2	3	-1	3	-1
Florida	-1	2	2	1	2	-1	3	2	2	-1	-1
standby	3	2	-1	3	3	-1	3	3	3	-1	-1
CNN	2	-1	-1	-1	2	2	3	2	-1	3	-1
pretend	-1	-1	2	-1	3	4	2	3	-1	3	2
professionals	-1	3	2	1	3	-1	3	4	4	-1	-1
